date,home_team,away_team,home_goals,away_goals,round,elo_h,elo_a,elo_diff,h_win5,a_win5,h_gf5,a_gf5,h_ga5,a_ga5,h_gd5,a_gd5,h_win10,a_win10,h_gf10,a_gf10,h_ga10,a_ga10,h_gd10,a_gd10,h2h_n,h2h_h_winrate,h2h_a_winrate
1954-06-20,Belgium,Italy,1,4,FIFA World Cup,1429.6588153533671,1670.247023121693,-240.5882077683259,0.0,0.6,1.4,2.2,3.2,1.6,-1.8,0.6,0.0,0.8,1.4,2.0,3.2,1.1,-1.8,0.9,0,0.0,0.0
1954-06-20,Germany,Hungary,3,8,FIFA World Cup,1638.0689894801287,1633.5772607324648,4.491728747663956,0.4,0.8,2.2,4.8,2.2,1.0,0.0,3.8,0.5714,0.7143,2.57,4.14,2.0,1.29,0.57,2.86,0,0.0,0.0
1954-06-23,Switzerland,Italy,4,1,FIFA World Cup,1597.3704726616104,1691.269835202104,-93.89936254049371,0.4,0.6,1.2,2.6,1.8,1.6,-0.6,1.0,0.4,0.8,1.6,2.3,1.9,1.2,-0.3,1.1,1,1.0,0.0
1954-06-23,Germany,Turkey,7,2,FIFA World Cup,1577.2933386193372,1548.8833853280619,28.409953291275315,0.4,0.5,2.6,4.0,3.2,2.0,-0.6,2.0,0.5,0.5,2.62,4.0,2.75,2.0,-0.12,2.0,1,1.0,0.0
1954-06-26,England,Uruguay,2,4,FIFA World Cup,1647.7485035144325,1816.1777669776636,-168.4292634632311,0.4,0.8,1.6,3.2,1.2,1.0,0.4,2.2,0.4,0.9,1.6,3.9,1.2,0.8,0.4,3.1,0,0.0,0.0
1954-06-26,Switzerland,Austria,5,7,FIFA World Cup,1663.7236768051657,1556.4308032047911,107.2928736003746,0.6,0.6,2.0,2.0,1.4,1.0,0.6,1.0,0.4,0.6667,1.7,2.17,1.8,1.17,-0.1,1.0,0,0.0,0.0
1954-06-27,Brazil,Hungary,2,4,FIFA World Cup,1745.0176349858707,1694.3529115932563,50.664723392614405,0.6,0.8,4.0,5.2,1.0,1.6,3.0,3.6,0.6,0.75,3.3,4.62,1.1,1.5,2.2,3.12,0,0.0,0.0
1954-06-27,Germany,Yugoslavia,2,0,FIFA World Cup,1632.3980193281686,1643.4595647695412,-11.061545441372573,0.4,0.6,3.4,1.8,3.2,0.8,0.2,1.0,0.5556,0.625,3.11,2.0,2.67,1.38,0.44,0.62,0,0.0,0.0
1954-06-30,Austria,Germany,1,6,FIFA World Cup,1714.9018908900996,1578.8302313630493,136.07165952705031,0.6,0.6,3.0,3.6,1.8,3.0,1.2,0.6,0.7143,0.6,2.86,3.0,1.71,2.4,1.14,0.6,1,0.0,0.0
1954-06-30,Hungary,Uruguay,4,2,FIFA World Cup,1845.8689055031048,1840.924963885666,4.943941617438668,0.8,1.0,5.6,3.6,2.0,1.0,3.6,2.6,0.7778,0.9,4.56,4.2,1.56,1.0,3.0,3.2,0,0.0,0.0
